months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,vehicle_claim,auto_make,auto_model,fraud_reported
453.0,IN,100/300,500.0,1298.91,6000000.0,MALE,PhD,craft-repair,dancing,unmarried,52600.0,-38800.0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,1.0,YES,0.0,0.0,?,49000.0,Ford,F150,1.0
210.0,IL,500/1000,500.0,1222.75,0.0,MALE,High School,exec-managerial,polo,other-relative,0.0,-41000.0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,3.0,?,2.0,0.0,NO,51590.0,BMW,X5,0.0
168.0,IN,100/300,1000.0,1059.52,0.0,MALE,MD,protective-serv,camping,own-child,0.0,-40600.0,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,2.0,?,1.0,1.0,?,33670.0,Saab,93,0.0
390.0,OH,250/500,2000.0,1124.38,0.0,MALE,Associate,armed-forces,reading,other-relative,0.0,0.0,Vehicle Theft,?,Minor Damage,,VA,1.0,YES,1.0,1.0,YES,4720.0,Ford,F150,0.0
258.0,IN,100/300,1000.0,1110.37,10000000.0,MALE,MD,machine-op-inspct,hiking,other-relative,34400.0,-56800.0,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,3.0,NO,0.0,1.0,?,33390.0,Accura,MDX,1.0
107.0,IL,500/1000,2000.0,1374.22,0.0,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,62000.0,-63100.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1.0,NO,0.0,3.0,NO,32620.0,Suburu,Legacy,0.0
225.0,OH,500/1000,2000.0,1103.58,0.0,MALE,High School,exec-managerial,exercise,unmarried,41200.0,-36200.0,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,3.0,?,2.0,2.0,NO,51200.0,Toyota,Highlander,1.0
164.0,IL,250/500,2000.0,1269.76,0.0,FEMALE,PhD,transport-moving,yachting,not-in-family,44300.0,0.0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,1.0,NO,1.0,3.0,YES,63000.0,Ford,Fusion,0.0
245.0,OH,250/500,500.0,964.79,8000000.0,FEMALE,Associate,adm-clerical,camping,husband,58000.0,0.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3.0,?,0.0,1.0,?,52960.0,BMW,3 Series,0.0
255.0,IL,500/1000,2000.0,1167.3,4000000.0,MALE,High School,priv-house-serv,board-games,other-relative,0.0,0.0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,1.0,NO,2.0,0.0,?,41580.0,Volkswagen,Passat,0.0
206.0,IL,500/1000,500.0,1625.45,4000000.0,FEMALE,MD,other-service,video-games,other-relative,0.0,-53700.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,1.0,NO,2.0,1.0,NO,51040.0,Ford,Fusion,1.0
203.0,IL,250/500,500.0,1394.43,0.0,FEMALE,Masters,other-service,skydiving,not-in-family,0.0,0.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,1.0,?,0.0,1.0,YES,49280.0,Nissan,Maxima,1.0
22.0,OH,250/500,2000.0,1053.24,0.0,FEMALE,College,prof-specialty,movies,other-relative,51100.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,4.0,YES,1.0,0.0,NO,51420.0,Accura,MDX,0.0
211.0,IL,100/300,500.0,1040.75,0.0,FEMALE,JD,prof-specialty,paintball,not-in-family,0.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,1.0,YES,1.0,1.0,?,28000.0,BMW,X5,0.0
206.0,IN,250/500,1000.0,1302.4,6000000.0,MALE,JD,craft-repair,dancing,unmarried,47200.0,-69700.0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,3.0,NO,2.0,3.0,YES,23100.0,Ford,Escape,0.0
166.0,IL,100/300,2000.0,1588.55,0.0,MALE,MD,protective-serv,video-games,unmarried,59600.0,-32100.0,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,1.0,NO,0.0,0.0,?,28800.0,Suburu,Impreza,0.0
165.0,IN,500/1000,500.0,1399.26,0.0,FEMALE,High School,tech-support,exercise,own-child,70500.0,0.0,Parked Car,?,Minor Damage,Police,PA,1.0,?,2.0,0.0,?,2970.0,BMW,M5,0.0
274.0,OH,100/300,2000.0,1352.31,0.0,MALE,College,farming-fishing,basketball,wife,40700.0,-47300.0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,1.0,YES,0.0,3.0,YES,42560.0,BMW,X5,1.0
81.0,IL,250/500,1000.0,1139.0,6000000.0,FEMALE,Masters,sales,sleeping,husband,42400.0,0.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,3.0,?,1.0,2.0,?,34790.0,Saab,92x,1.0
280.0,IN,250/500,1000.0,1397.67,0.0,MALE,JD,machine-op-inspct,camping,wife,57900.0,0.0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,3.0,YES,1.0,2.0,NO,56480.0,Ford,Escape,0.0
194.0,IN,250/500,500.0,823.17,0.0,MALE,Masters,adm-clerical,paintball,own-child,0.0,0.0,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,3.0,?,2.0,2.0,NO,43050.0,Dodge,RAM,0.0
112.0,OH,100/300,500.0,965.13,0.0,FEMALE,Masters,tech-support,exercise,unmarried,60000.0,-54800.0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,3.0,?,0.0,1.0,?,34000.0,Nissan,Pathfinder,0.0
24.0,IL,500/1000,1000.0,1922.84,0.0,FEMALE,High School,machine-op-inspct,skydiving,wife,0.0,-45200.0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,1.0,?,2.0,1.0,NO,32760.0,Jeep,Wrangler,0.0
93.0,OH,250/500,2000.0,1624.82,0.0,MALE,PhD,exec-managerial,basketball,unmarried,65300.0,-65600.0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,1.0,?,1.0,1.0,?,52080.0,BMW,3 Series,0.0
171.0,IN,250/500,2000.0,1277.25,0.0,FEMALE,College,exec-managerial,yachting,other-relative,84900.0,0.0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,1.0,NO,1.0,2.0,?,48440.0,Volkswagen,Passat,1.0
200.0,IL,100/300,1000.0,1439.34,0.0,FEMALE,High School,sales,exercise,other-relative,45300.0,-20400.0,Vehicle Theft,?,Minor Damage,Police,VA,1.0,?,0.0,0.0,NO,2870.0,Ford,Escape,0.0
120.0,IL,250/500,1000.0,1281.27,0.0,FEMALE,PhD,tech-support,golf,not-in-family,68900.0,0.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,3.0,NO,0.0,3.0,?,52400.0,BMW,X5,0.0
325.0,IL,500/1000,500.0,1348.83,0.0,FEMALE,High School,prof-specialty,basketball,wife,46300.0,-77500.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,3.0,?,1.0,2.0,YES,55360.0,Toyota,Camry,0.0
124.0,IL,250/500,1000.0,1198.15,0.0,FEMALE,MD,other-service,hiking,not-in-family,0.0,-43200.0,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,3.0,NO,0.0,2.0,YES,49040.0,BMW,X5,0.0
211.0,OH,100/300,2000.0,1221.22,0.0,MALE,Masters,machine-op-inspct,camping,other-relative,76000.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,1.0,YES,0.0,1.0,?,37840.0,Mercedes,E400,0.0
287.0,IL,500/1000,2000.0,968.74,0.0,MALE,Masters,transport-moving,video-games,wife,0.0,-49000.0,Vehicle Theft,?,Trivial Damage,,SC,1.0,?,2.0,3.0,?,3760.0,Suburu,Forrestor,0.0
122.0,IN,250/500,1000.0,1220.71,0.0,MALE,PhD,machine-op-inspct,video-games,own-child,58600.0,-28700.0,Parked Car,?,Minor Damage,,SC,1.0,?,2.0,1.0,YES,5040.0,Chevrolet,Silverado,0.0
22.0,IN,250/500,2000.0,1238.62,6000000.0,MALE,MD,exec-managerial,yachting,other-relative,0.0,-56200.0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,1.0,?,2.0,3.0,?,49560.0,Accura,MDX,1.0
106.0,IL,500/1000,2000.0,1320.75,0.0,FEMALE,JD,farming-fishing,video-games,wife,54100.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,3.0,?,0.0,3.0,YES,35490.0,Accura,MDX,0.0
398.0,OH,100/300,500.0,990.98,0.0,FEMALE,Associate,exec-managerial,cross-fit,wife,0.0,-57900.0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,1.0,YES,2.0,1.0,?,76400.0,Accura,TL,1.0
214.0,IL,500/1000,500.0,1398.51,4000000.0,MALE,Masters,tech-support,polo,not-in-family,0.0,-57100.0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,3.0,?,2.0,0.0,NO,44800.0,BMW,X6,1.0
209.0,OH,100/300,500.0,1355.08,0.0,FEMALE,MD,other-service,golf,other-relative,58100.0,0.0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,1.0,?,1.0,1.0,?,37840.0,Nissan,Pathfinder,0.0
82.0,IL,100/300,1000.0,1384.51,0.0,MALE,PhD,adm-clerical,reading,not-in-family,13100.0,-38200.0,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,1.0,NO,2.0,3.0,?,53760.0,Volkswagen,Jetta,1.0
193.0,OH,250/500,500.0,847.03,0.0,FEMALE,JD,craft-repair,skydiving,not-in-family,0.0,0.0,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,1.0,?,1.0,0.0,YES,77760.0,Suburu,Impreza,1.0
134.0,OH,100/300,1000.0,1000.06,0.0,FEMALE,PhD,farming-fishing,base-jumping,wife,0.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,1.0,?,1.0,0.0,?,60160.0,Audi,A3,0.0
288.0,IL,100/300,1000.0,1046.71,0.0,MALE,Masters,priv-house-serv,polo,husband,0.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,3.0,?,2.0,1.0,?,32040.0,Mercedes,C300,0.0
104.0,IN,250/500,500.0,1158.03,0.0,MALE,High School,exec-managerial,kayaking,own-child,31900.0,-44600.0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,3.0,YES,1.0,3.0,YES,44010.0,Volkswagen,Jetta,1.0
431.0,OH,100/300,1000.0,1372.27,0.0,FEMALE,Masters,craft-repair,paintball,own-child,17600.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,3.0,NO,2.0,3.0,?,42160.0,Suburu,Forrestor,0.0
101.0,OH,100/300,1000.0,1053.04,7000000.0,FEMALE,Masters,other-service,reading,own-child,52000.0,-44500.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,3.0,NO,1.0,3.0,?,36160.0,Saab,93,1.0
375.0,OH,100/300,1000.0,1275.39,0.0,MALE,Associate,sales,bungie-jumping,other-relative,0.0,0.0,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,1.0,YES,2.0,3.0,NO,37280.0,Audi,A5,1.0
461.0,OH,100/300,2000.0,1402.75,0.0,MALE,JD,exec-managerial,exercise,husband,0.0,0.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3.0,?,2.0,1.0,YES,50470.0,Jeep,Wrangler,0.0
428.0,IN,250/500,500.0,1344.36,7000000.0,FEMALE,JD,prof-specialty,hiking,other-relative,0.0,0.0,Parked Car,?,Minor Damage,,WV,1.0,?,2.0,3.0,NO,4550.0,Saab,92x,0.0
45.0,IN,100/300,1000.0,1197.71,0.0,MALE,Masters,machine-op-inspct,movies,not-in-family,29000.0,0.0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,3.0,?,2.0,0.0,?,52160.0,Suburu,Legacy,0.0
136.0,OH,100/300,500.0,1203.24,0.0,FEMALE,JD,transport-moving,video-games,other-relative,62500.0,-66900.0,Vehicle Theft,?,Minor Damage,Police,NY,1.0,?,2.0,0.0,?,4340.0,Honda,Accord,0.0
216.0,IN,500/1000,1000.0,1152.4,0.0,FEMALE,Associate,priv-house-serv,reading,unmarried,39600.0,-82400.0,Parked Car,?,Minor Damage,Police,VA,1.0,YES,2.0,3.0,?,3920.0,Mercedes,E400,0.0
278.0,IN,500/1000,2000.0,1142.62,7000000.0,FEMALE,MD,farming-fishing,dancing,not-in-family,0.0,-54000.0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,1.0,?,2.0,0.0,?,52650.0,Chevrolet,Silverado,0.0
295.0,OH,500/1000,1000.0,1332.07,0.0,FEMALE,MD,exec-managerial,polo,unmarried,49700.0,-59100.0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,2.0,NO,2.0,1.0,YES,59580.0,Volkswagen,Passat,0.0
112.0,OH,500/1000,1000.0,1166.54,0.0,FEMALE,Masters,prof-specialty,sleeping,not-in-family,47700.0,-59300.0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,1.0,YES,2.0,0.0,NO,75530.0,Dodge,Neon,1.0
122.0,IL,250/500,500.0,1495.06,0.0,FEMALE,Masters,prof-specialty,polo,unmarried,38100.0,-31400.0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,3.0,NO,2.0,0.0,YES,63630.0,Mercedes,E400,0.0
108.0,IN,500/1000,1000.0,1337.92,0.0,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,71400.0,0.0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,3.0,NO,2.0,2.0,YES,44640.0,Suburu,Legacy,0.0
14.0,OH,250/500,2000.0,1587.96,0.0,FEMALE,Associate,craft-repair,board-games,unmarried,0.0,-26900.0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,1.0,?,2.0,1.0,YES,45360.0,Audi,A5,1.0
298.0,IL,500/1000,1000.0,1362.29,0.0,MALE,High School,farming-fishing,yachting,unmarried,0.0,-51100.0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,3.0,NO,0.0,0.0,NO,44800.0,Saab,95,0.0
276.0,IL,250/500,500.0,1448.84,0.0,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0.0,-50000.0,Parked Car,?,Trivial Damage,Police,SC,1.0,?,0.0,1.0,NO,4620.0,Toyota,Highlander,0.0
47.0,IN,250/500,2000.0,1241.97,0.0,MALE,High School,other-service,movies,not-in-family,75400.0,0.0,Parked Car,?,Minor Damage,,NY,1.0,NO,1.0,0.0,NO,5360.0,Jeep,Wrangler,0.0
222.0,IL,250/500,500.0,1124.6,0.0,MALE,Associate,armed-forces,hiking,not-in-family,0.0,0.0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3.0,YES,0.0,0.0,?,31840.0,Jeep,Wrangler,0.0
119.0,OH,250/500,2000.0,1079.92,0.0,MALE,High School,machine-op-inspct,hiking,husband,88800.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,1.0,?,0.0,1.0,YES,40200.0,Volkswagen,Jetta,1.0
73.0,IL,250/500,1000.0,1447.78,0.0,MALE,College,protective-serv,board-games,wife,35100.0,-59900.0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,3.0,YES,1.0,0.0,?,34930.0,Dodge,Neon,0.0
8.0,IN,250/500,500.0,1229.16,4000000.0,FEMALE,MD,transport-moving,kayaking,wife,0.0,-88300.0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,3.0,?,0.0,2.0,YES,29600.0,Volkswagen,Jetta,0.0
294.0,IL,100/300,1000.0,1226.49,0.0,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900.0,0.0,Vehicle Theft,?,Trivial Damage,,WV,1.0,NO,0.0,1.0,NO,4270.0,Ford,Fusion,0.0
324.0,IN,100/300,2000.0,897.89,6000000.0,MALE,MD,tech-support,board-games,wife,0.0,-41300.0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,1.0,?,1.0,0.0,YES,47760.0,Jeep,Wrangler,0.0
155.0,IN,100/300,500.0,1706.79,0.0,MALE,Masters,protective-serv,dancing,other-relative,0.0,0.0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,1.0,NO,1.0,1.0,YES,59920.0,Honda,Civic,0.0
261.0,IL,250/500,1000.0,1254.18,0.0,FEMALE,PhD,prof-specialty,kayaking,other-relative,0.0,-45100.0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,1.0,YES,0.0,1.0,?,39830.0,Volkswagen,Jetta,0.0
245.0,IN,500/1000,500.0,885.08,0.0,FEMALE,Masters,armed-forces,skydiving,other-relative,27000.0,-58900.0,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,1.0,YES,0.0,1.0,NO,58950.0,Chevrolet,Malibu,0.0
235.0,IL,100/300,500.0,1046.58,4000000.0,MALE,MD,tech-support,exercise,wife,0.0,-31700.0,Vehicle Theft,?,Trivial Damage,,NY,1.0,?,2.0,1.0,NO,3600.0,Chevrolet,Silverado,0.0
53.0,OH,500/1000,2000.0,1712.68,0.0,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200.0,0.0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,3.0,?,2.0,0.0,YES,35770.0,Audi,A3,0.0
426.0,IL,500/1000,2000.0,1097.71,0.0,FEMALE,Masters,adm-clerical,reading,not-in-family,29600.0,-22300.0,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,1.0,YES,2.0,3.0,?,67200.0,Dodge,Neon,0.0
111.0,IN,250/500,500.0,1363.77,4000000.0,FEMALE,Masters,tech-support,exercise,husband,51100.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,1.0,YES,2.0,3.0,NO,57890.0,Accura,RSX,0.0
86.0,OH,100/300,500.0,1382.88,7000000.0,MALE,JD,tech-support,cross-fit,other-relative,0.0,-30300.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1.0,?,1.0,1.0,YES,59520.0,Chevrolet,Malibu,1.0
296.0,OH,100/300,1000.0,1141.35,7000000.0,MALE,Masters,craft-repair,sleeping,not-in-family,0.0,0.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,1.0,?,0.0,2.0,NO,43920.0,Mercedes,C300,0.0
125.0,OH,500/1000,500.0,1054.83,7000000.0,MALE,JD,tech-support,cross-fit,husband,0.0,-51300.0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,1.0,YES,2.0,3.0,NO,64480.0,Mercedes,C300,1.0
177.0,IL,100/300,2000.0,1057.77,0.0,FEMALE,JD,tech-support,bungie-jumping,unmarried,0.0,-57700.0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,3.0,?,1.0,1.0,NO,13500.0,Audi,A3,0.0
238.0,IN,250/500,2000.0,1488.02,0.0,FEMALE,JD,protective-serv,exercise,other-relative,0.0,-39200.0,Vehicle Theft,?,Minor Damage,Police,NY,1.0,YES,1.0,3.0,YES,3850.0,Chevrolet,Tahoe,0.0
81.0,IN,100/300,500.0,920.3,5000000.0,FEMALE,High School,tech-support,hiking,own-child,51000.0,-67900.0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,3.0,?,1.0,0.0,?,53760.0,Honda,Civic,1.0
128.0,OH,500/1000,1000.0,986.53,0.0,FEMALE,High School,adm-clerical,polo,other-relative,62700.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,1.0,NO,0.0,2.0,YES,64820.0,Honda,CRV,0.0
449.0,OH,250/500,2000.0,1440.68,0.0,MALE,Associate,tech-support,movies,own-child,25000.0,0.0,Parked Car,?,Minor Damage,,SC,1.0,YES,0.0,1.0,YES,3430.0,Volkswagen,Passat,0.0
252.0,IN,250/500,1000.0,1086.21,0.0,MALE,JD,farming-fishing,hiking,unmarried,68500.0,-57500.0,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,1.0,?,1.0,2.0,?,39270.0,Nissan,Maxima,0.0
359.0,OH,100/300,2000.0,1367.68,0.0,FEMALE,MD,handlers-cleaners,basketball,unmarried,0.0,0.0,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,1.0,NO,0.0,3.0,NO,38850.0,Mercedes,C300,0.0
19.0,OH,500/1000,1000.0,1215.85,0.0,MALE,High School,other-service,hiking,husband,42900.0,-90200.0,Vehicle Theft,?,Minor Damage,Police,VA,1.0,YES,1.0,1.0,YES,5120.0,Nissan,Maxima,0.0
73.0,IL,250/500,2000.0,1191.19,4000000.0,MALE,MD,farming-fishing,basketball,not-in-family,29300.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,3.0,?,0.0,1.0,YES,35140.0,Chevrolet,Tahoe,0.0
285.0,IL,500/1000,1000.0,1594.45,0.0,MALE,High School,handlers-cleaners,bungie-jumping,husband,0.0,0.0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,2.0,YES,2.0,3.0,NO,41760.0,Saab,95,0.0
196.0,IN,250/500,2000.0,1463.07,0.0,MALE,MD,armed-forces,skydiving,own-child,0.0,0.0,Vehicle Theft,?,Trivial Damage,Police,WV,1.0,?,1.0,1.0,NO,4240.0,Jeep,Grand Cherokee,1.0
223.0,OH,250/500,500.0,1734.09,0.0,FEMALE,MD,adm-clerical,camping,not-in-family,0.0,0.0,Parked Car,?,Trivial Damage,,WV,1.0,YES,0.0,3.0,?,3900.0,Accura,MDX,0.0
328.0,IL,250/500,500.0,1411.43,0.0,MALE,Masters,armed-forces,bungie-jumping,own-child,45100.0,-32800.0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,1.0,YES,2.0,1.0,NO,41580.0,Honda,Civic,0.0
285.0,OH,100/300,2000.0,1512.58,0.0,FEMALE,College,sales,paintball,other-relative,47600.0,0.0,Vehicle Theft,?,Minor Damage,Police,SC,1.0,?,1.0,1.0,?,1960.0,BMW,3 Series,0.0
30.0,IL,250/500,2000.0,1153.35,0.0,MALE,PhD,craft-repair,golf,not-in-family,0.0,0.0,Vehicle Theft,?,Trivial Damage,Police,NY,1.0,NO,2.0,1.0,YES,3840.0,Suburu,Impreza,0.0
342.0,OH,250/500,500.0,1722.95,0.0,MALE,PhD,transport-moving,base-jumping,not-in-family,63100.0,-13800.0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,1.0,?,2.0,0.0,YES,61360.0,Suburu,Legacy,0.0
219.0,IN,250/500,2000.0,1281.07,7000000.0,FEMALE,High School,protective-serv,board-games,unmarried,0.0,0.0,Parked Car,?,Trivial Damage,Police,NY,1.0,NO,0.0,2.0,NO,4440.0,Chevrolet,Malibu,0.0
468.0,IL,100/300,500.0,1011.92,0.0,MALE,PhD,machine-op-inspct,paintball,wife,0.0,0.0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,3.0,YES,0.0,3.0,?,50050.0,Chevrolet,Tahoe,0.0
241.0,IL,250/500,2000.0,1042.26,0.0,MALE,JD,sales,kayaking,husband,0.0,0.0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,3.0,NO,1.0,2.0,?,12720.0,Saab,93,0.0
223.0,OH,500/1000,500.0,1235.1,0.0,FEMALE,Masters,tech-support,exercise,not-in-family,66400.0,-34400.0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1.0,NO,2.0,1.0,NO,43520.0,BMW,M5,0.0
128.0,OH,100/300,2000.0,768.91,0.0,FEMALE,College,sales,chess,other-relative,0.0,-39300.0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,1.0,?,1.0,0.0,NO,47840.0,Ford,F150,1.0
124.0,OH,500/1000,500.0,1301.72,0.0,MALE,Masters,handlers-cleaners,golf,husband,0.0,0.0,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,3.0,?,0.0,3.0,YES,57600.0,Audi,A3,0.0
343.0,IN,250/500,500.0,1451.54,3000000.0,MALE,JD,adm-clerical,hiking,husband,0.0,0.0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,4.0,NO,2.0,3.0,NO,43380.0,Mercedes,C300,0.0
404.0,IN,250/500,500.0,767.14,0.0,MALE,Associate,sales,reading,not-in-family,25500.0,-36700.0,Parked Car,?,Trivial Damage,Police,WV,1.0,NO,0.0,1.0,NO,6160.0,Suburu,Legacy,0.0
63.0,OH,250/500,2000.0,1620.89,0.0,FEMALE,High School,handlers-cleaners,movies,other-relative,0.0,0.0,Vehicle Theft,?,Minor Damage,Police,NC,1.0,NO,2.0,0.0,NO,4080.0,Toyota,Corolla,0.0
210.0,IN,500/1000,2000.0,1048.46,0.0,MALE,High School,priv-house-serv,skydiving,not-in-family,59900.0,0.0,Vehicle Theft,?,Trivial Damage,,OH,1.0,?,1.0,2.0,?,5310.0,Dodge,RAM,0.0
335.0,OH,100/300,1000.0,1538.26,6000000.0,MALE,High School,sales,yachting,other-relative,62200.0,-31400.0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,3.0,YES,2.0,3.0,YES,21450.0,Volkswagen,Passat,0.0
11.0,OH,500/1000,2000.0,1217.69,0.0,FEMALE,MD,prof-specialty,reading,wife,24000.0,0.0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,3.0,?,1.0,0.0,?,34020.0,Dodge,Neon,1.0
142.0,IN,100/300,2000.0,1362.64,5000000.0,FEMALE,JD,exec-managerial,cross-fit,wife,0.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,1.0,YES,1.0,3.0,?,61020.0,Suburu,Legacy,1.0
272.0,OH,100/300,1000.0,1279.13,0.0,MALE,PhD,craft-repair,bungie-jumping,other-relative,0.0,0.0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,3.0,?,1.0,2.0,YES,58960.0,Audi,A3,1.0
69.0,IL,100/300,2000.0,924.72,0.0,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0.0,0.0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,1.0,NO,2.0,2.0,NO,47340.0,Audi,A5,0.0
38.0,OH,250/500,1000.0,1019.44,0.0,MALE,Masters,transport-moving,yachting,not-in-family,0.0,-39700.0,Vehicle Theft,?,Trivial Damage,,NC,1.0,?,2.0,1.0,NO,5040.0,BMW,X5,0.0
328.0,IL,500/1000,500.0,1314.6,0.0,FEMALE,MD,prof-specialty,exercise,not-in-family,24800.0,0.0,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,1.0,?,2.0,3.0,?,51120.0,Saab,92x,1.0
281.0,OH,100/300,1000.0,1515.18,6000000.0,MALE,College,priv-house-serv,camping,other-relative,0.0,0.0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,3.0,NO,1.0,0.0,NO,41670.0,BMW,X6,0.0
246.0,OH,250/500,2000.0,1649.18,0.0,MALE,College,farming-fishing,base-jumping,other-relative,0.0,-58600.0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,1.0,YES,1.0,2.0,YES,44640.0,Honda,Civic,1.0
298.0,OH,250/500,500.0,1451.01,0.0,FEMALE,College,other-service,exercise,own-child,47800.0,0.0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,1.0,NO,2.0,2.0,NO,19670.0,Jeep,Grand Cherokee,0.0
330.0,IL,500/1000,1000.0,978.46,0.0,FEMALE,High School,sales,yachting,husband,0.0,0.0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,1.0,YES,0.0,0.0,NO,31220.0,Chevrolet,Silverado,0.0
